,Unnamed: 0,Offense Parent Group,month,crime_rate,parent_count
50,50,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-03,81.86,634
51,51,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-04,73.73,571
52,52,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-05,87.67,679
53,53,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-06,81.99,635
54,54,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-07,90.51,701
55,55,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-08,80.96,627
56,56,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-09,76.57,593
57,57,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-10,76.31,591
58,58,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-11,62.11,481
59,59,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2022-12,64.3,498
60,60,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2023-01,72.69,576
61,61,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2023-02,31.17,247
